Tree	Validity	Type	Sequence_MA	Sequence_MM	Sequence_AD	Sequence_MU	Shape
ENSGT00720000108747	valid	1	APAMA00000000504	APAMM00000000513	APAAD00000000391	APAMU00000000439	(MA,(MM,(AD,MU)));
ENSGT00720000108747	valid	1	TRAMA00000000234	APAMM00000000523	TRAAD00000000190	APAMU00000000446	(MA,(MM,(AD,MU)));
ENSGT00550000074734	valid	1	APAMA00000014567	TRAMM00000007086	APAAD00000011160	APAMU00000011897	(MA,(MM,(AD,MU)));
ENSGT00550000074734	valid	1	APAMA00000014576	TRAMM00000007084	APAAD00000011168	APAMU00000011899	(MA,(MM,(AD,MU)));
ENSGT00390000008225	valid	1	APAMA00000031416	APAMM00000029769	APAAD00000023918	APAMU00000025722	(MA,(MM,(AD,MU)));
ENSGT00530000063879	valid	1	APAMA00000050339	TRAMM00000025185	APAAD00000038656	APAMU00000041430	(MA,(MM,(AD,MU)));
ENSGT00530000063879	valid	1	APAMA00000050338	APAMM00000048094	APAAD00000038657	APAMU00000041427	(MA,(MM,(AD,MU)));
ENSGT00390000010866	valid	1	TRAMA00000019644	TRAMM00000018859	TRAAD00000016485	TRAMU00000018088	(MA,(MM,(AD,MU)));
ENSGT00390000011987	valid	1	APAMA00000031565	APAMM00000029934	APAAD00000024060	APAMU00000025859	(MA,(MM,(AD,MU)));
ENSGT00390000017361	valid	1	APAMA00000048991	TRAMM00000024625	APAAD00000037620	APAMU00000040338	(MA,(MM,(AD,MU)));
ENSGT00390000016223	valid	1	APAMA00000033941	APAMM00000032205	TRAAD00000014843	APAMU00000027800	(MA,(MM,(AD,MU)));
ENSGT00530000063417	valid	1	APAMA00000062728	APAMM00000060106	APAAD00000048666	TRAMU00000030313	(MA,(MM,(AD,MU)));
ENSGT00530000063417	valid	1	APAMA00000062721	APAMM00000060107	APAAD00000048671	APAMU00000051974	(MA,(MM,(AD,MU)));
ENSGT00390000001197	valid	1	APAMA00000053170	APAMM00000050838	TRAAD00000009060	APAMU00000043856	(MA,(MM,(AD,MU)));
ENSGT00390000007540	valid	1	APAMA00000001379	APAMM00000001395	APAAD00000001083	APAMU00000001172	(MA,(MM,(AD,MU)));
ENSGT00390000021477	valid	1	TRAMA00000003489	APAMM00000006682	APAAD00000005342	APAMU00000005724	(MA,(MM,(AD,MU)));
ENSGT00390000007284	valid	1	APAMA00000006188	APAMM00000005985	APAAD00000004811	APAMU00000005167	(MA,(MM,(AD,MU)));
ENSGT00390000007214	valid	1	APAMA00000000519	TRAMM00000012079	APAAD00000000399	APAMU00000000449	(MA,(MM,(AD,MU)));
ENSGT00550000075026	valid	1	APAMA00000021811	TRAMM00000010660	APAAD00000016643	APAMU00000017888	(MA,(MM,(AD,MU)));
ENSGT00390000005222	valid	1	TRAMA00000030547	APAMM00000008228	APAAD00000006600	APAMU00000007102	(MA,(MM,(AD,MU)));
ENSGT00390000016233	valid	1	APAMA00000001417	APAMM00000001432	APAAD00000001124	APAMU00000001218	(MA,(MM,(AD,MU)));
ENSGT00390000012654	valid	1	TRAMA00000005113	APAMM00000009616	TRAAD00000004338	APAMU00000008385	(MA,(MM,(AD,MU)));
ENSGT00510000049297	valid	1	APAMA00000009280	APAMM00000008886	APAAD00000007081	APAMU00000007662	(MA,(MM,(AD,MU)));
ENSGT00390000016836	valid	1	APAMA00000008614	APAMM00000008295	APAAD00000006634	APAMU00000007176	(MA,(MM,(AD,MU)));
ENSGT00390000016836	valid	1	APAMA00000008615	TRAMM00000004355	APAAD00000006636	APAMU00000007177	(MA,(MM,(AD,MU)));
ENSGT00530000063165	valid	1	APAMA00000027238	APAMM00000025727	APAAD00000020694	APAMU00000022247	(MA,(MM,(AD,MU)));
ENSGT00530000063165	valid	1	APAMA00000027247	APAMM00000025729	APAAD00000020708	APAMU00000022254	(MA,(MM,(AD,MU)));
ENSGT00530000063165	valid	1	APAMA00000027248	APAMM00000025730	APAAD00000020699	APAMU00000022244	(MA,(MM,(AD,MU)));
ENSGT00530000063165	valid	1	APAMA00000027244	APAMM00000025740	TRAAD00000011727	APAMU00000022253	(MA,(MM,(AD,MU)));
ENSGT00390000010255	valid	1	APAMA00000043349	APAMM00000041250	TRAAD00000018886	APAMU00000035575	(MA,(MM,(AD,MU)));
ENSGT00390000003426	valid	1	APAMA00000032608	APAMM00000030919	APAAD00000024890	APAMU00000026708	(MA,(MM,(AD,MU)));
ENSGT00740000115530	valid	1	APAMA00000039672	TRAMM00000019834	APAAD00000030327	APAMU00000032551	(MA,(MM,(AD,MU)));
ENSGT00740000115530	valid	1	APAMA00000039671	APAMM00000037656	TRAAD00000017196	APAMU00000032549	(MA,(MM,(AD,MU)));
ENSGT00390000012364	valid	1	APAMA00000002602	APAMM00000002538	APAAD00000002051	TRAMU00000001205	(MA,(MM,(AD,MU)));
ENSGT00730000111273	valid	1	APAMA00000028472	APAMM00000026998	APAAD00000021698	TRAMU00000013601	(MA,(MM,(AD,MU)));
ENSGT00890000139434	valid	1	APAMA00000021779	APAMM00000020646	APAAD00000016621	APAMU00000017864	(MA,(MM,(AD,MU)));
ENSGT00890000139434	valid	1	APAMA00000021781	APAMM00000020641	APAAD00000016632	APAMU00000017862	(MA,(MM,(AD,MU)));
ENSGT00790000123098	valid	1	APAMA00000003963	APAMM00000003875	APAAD00000003174	APAMU00000003263	(MA,(MM,(AD,MU)));
ENSGT00530000063256	valid	1	APAMA00000012824	APAMM00000012158	APAAD00000009844	APAMU00000010573	(MA,(MM,(AD,MU)));
ENSGT00530000063256	valid	1	APAMA00000012830	APAMM00000012157	APAAD00000009847	APAMU00000010571	(MA,(MM,(AD,MU)));
ENSGT00530000063256	valid	1	APAMA00000012820	APAMM00000012160	TRAAD00000005529	APAMU00000010570	(MA,(MM,(AD,MU)));
ENSGT00390000008818	valid	1	APAMA00000032282	APAMM00000030618	APAAD00000024630	APAMU00000026428	(MA,(MM,(AD,MU)));
ENSGT00510000046654	valid	1	APAMA00000016703	APAMM00000015806	APAAD00000012727	APAMU00000013550	(MA,(MM,(AD,MU)));
ENSGT00510000046654	valid	1	APAMA00000016704	APAMM00000015809	APAAD00000012728	APAMU00000013552	(MA,(MM,(AD,MU)));
ENSGT00810000125439	valid	1	APAMA00000048565	APAMM00000046318	APAAD00000037297	APAMU00000040009	(MA,(MM,(AD,MU)));
ENSGT00810000125439	valid	1	APAMA00000048561	APAMM00000046317	APAAD00000037301	APAMU00000040012	(MA,(MM,(AD,MU)));
ENSGT00390000009679	valid	1	APAMA00000060861	APAMM00000058303	APAAD00000047149	TRAMU00000031671	(MA,(MM,(AD,MU)));
ENSGT00390000017655	valid	1	APAMA00000037394	APAMM00000035438	APAAD00000028590	TRAMU00000017940	(MA,(MM,(AD,MU)));
ENSGT00390000009488	valid	1	APAMA00000064794	TRAMM00000032271	TRAAD00000028231	APAMU00000053619	(MA,(MM,(AD,MU)));
ENSGT00390000001775	valid	1	APAMA00000043713	APAMM00000041617	APAAD00000033522	APAMU00000035880	(MA,(MM,(AD,MU)));
ENSGT00390000016521	valid	1	APAMA00000037011	TRAMM00000018435	APAAD00000028291	APAMU00000030338	(MA,(MM,(AD,MU)));
ENSGT00390000011856	valid	1	APAMA00000007643	APAMM00000007418	APAAD00000005947	APAMU00000006384	(MA,(MM,(AD,MU)));
ENSGT00550000074563	valid	1	APAMA00000064626	APAMM00000061827	APAAD00000049941	APAMU00000053436	(MA,(MM,(AD,MU)));
ENSGT00550000074563	valid	1	APAMA00000064635	TRAMM00000028217	APAAD00000049944	APAMU00000053450	(MA,(MM,(AD,MU)));
ENSGT00550000074563	valid	1	APAMA00000064628	TRAMM00000028208	APAAD00000049942	APAMU00000053443	(MA,(MM,(AD,MU)));
ENSGT00550000074563	valid	1	APAMA00000064642	APAMM00000061831	APAAD00000049950	APAMU00000053455	(MA,(MM,(AD,MU)));
ENSGT00550000074563	valid	1	APAMA00000064641	APAMM00000061825	TRAAD00000024666	APAMU00000053438	(MA,(MM,(AD,MU)));
ENSGT00530000063548	valid	1	TRAMA00000019887	APAMM00000036369	APAAD00000029371	APAMU00000031460	(MA,(MM,(AD,MU)));
ENSGT00530000063548	valid	1	APAMA00000038368	APAMM00000036362	APAAD00000029374	APAMU00000031461	(MA,(MM,(AD,MU)));
ENSGT00390000013005	valid	1	APAMA00000013406	APAMM00000012699	APAAD00000010251	APAMU00000010982	(MA,(MM,(AD,MU)));
ENSGT00390000010887	valid	1	APAMA00000039926	APAMM00000037936	APAAD00000030587	APAMU00000032776	(MA,(MM,(AD,MU)));
ENSGT00390000013859	valid	1	APAMA00000001763	APAMM00000001755	APAAD00000001411	APAMU00000001452	(MA,(MM,(AD,MU)));
ENSGT00550000075013	valid	1	APAMA00000033171	TRAMM00000016472	APAAD00000025390	APAMU00000027230	(MA,(MM,(AD,MU)));
ENSGT00390000015880	valid	1	APAMA00000065294	TRAMM00000032563	APAAD00000050448	TRAMU00000031340	(MA,(MM,(AD,MU)));
ENSGT00390000016161	valid	1	APAMA00000046941	APAMM00000044731	APAAD00000036019	APAMU00000038637	(MA,(MM,(AD,MU)));
ENSGT00390000016161	valid	1	APAMA00000046938	APAMM00000044734	APAAD00000036023	APAMU00000038639	(MA,(MM,(AD,MU)));
ENSGT00390000016161	valid	1	APAMA00000046943	APAMM00000044733	APAAD00000036021	APAMU00000038638	(MA,(MM,(AD,MU)));
ENSGT00390000013963	valid	1	TRAMA00000012598	APAMM00000023661	APAAD00000019045	APAMU00000020386	(MA,(MM,(AD,MU)));
ENSGT00510000048923	valid	1	APAMA00000008471	APAMM00000008160	APAAD00000006549	APAMU00000007043	(MA,(MM,(AD,MU)));
ENSGT00530000063600	valid	1	APAMA00000034804	APAMM00000033022	APAAD00000026614	TRAMU00000016712	(MA,(MM,(AD,MU)));
ENSGT00530000063600	valid	1	APAMA00000034799	APAMM00000033014	APAAD00000026615	APAMU00000028440	(MA,(MM,(AD,MU)));
ENSGT00390000001965	valid	1	APAMA00000042504	APAMM00000040364	TRAAD00000018470	APAMU00000034864	(MA,(MM,(AD,MU)));
ENSGT00390000003020	valid	1	APAMA00000008330	APAMM00000008029	APAAD00000006454	APAMU00000006940	(MA,(MM,(AD,MU)));
ENSGT00390000014801	valid	1	APAMA00000004562	APAMM00000004446	APAAD00000003608	APAMU00000003781	(MA,(MM,(AD,MU)));
ENSGT00440000033656	valid	1	APAMA00000019014	APAMM00000018031	TRAAD00000008194	APAMU00000015590	(MA,(MM,(AD,MU)));
ENSGT00390000016400	valid	1	APAMA00000019928	APAMM00000018900	APAAD00000015262	APAMU00000016365	(MA,(MM,(AD,MU)));
ENSGT00390000000230	valid	1	APAMA00000035091	APAMM00000033322	APAAD00000026878	APAMU00000028731	(MA,(MM,(AD,MU)));
ENSGT00730000111450	valid	1	APAMA00000015969	APAMM00000015111	TRAAD00000006163	TRAMU00000006937	(MA,(MM,(AD,MU)));
ENSGT00550000074356	valid	1	APAMA00000001360	APAMM00000001374	APAAD00000001050	APAMU00000001146	(MA,(MM,(AD,MU)));
ENSGT00550000074356	valid	1	APAMA00000001356	APAMM00000001369	APAAD00000001058	APAMU00000001153	(MA,(MM,(AD,MU)));
ENSGT00550000074356	valid	1	APAMA00000001357	APAMM00000001367	APAAD00000001051	APAMU00000001139	(MA,(MM,(AD,MU)));
ENSGT00550000074356	valid	1	APAMA00000001351	TRAMM00000000677	APAAD00000001069	APAMU00000001140	(MA,(MM,(AD,MU)));
ENSGT00550000074356	valid	1	APAMA00000001366	APAMM00000001362	APAAD00000001059	APAMU00000001149	(MA,(MM,(AD,MU)));
ENSGT00530000062949	valid	1	APAMA00000038037	APAMM00000036028	APAAD00000029088	APAMU00000031191	(MA,(MM,(AD,MU)));
ENSGT00530000062949	valid	1	TRAMA00000019737	TRAMM00000018967	APAAD00000029092	APAMU00000031188	(MA,(MM,(AD,MU)));
ENSGT00530000062949	valid	1	APAMA00000038043	APAMM00000036017	APAAD00000029095	APAMU00000031198	(MA,(MM,(AD,MU)));
ENSGT00390000017774	valid	1	TRAMA00000023282	APAMM00000048252	APAAD00000038819	APAMU00000041587	(MA,(MM,(AD,MU)));
ENSGT00390000003324	valid	1	TRAMA00000017935	APAMM00000016510	APAAD00000013300	APAMU00000014205	(MA,(MM,(AD,MU)));
ENSGT00390000015845	valid	1	APAMA00000002646	APAMM00000002580	APAAD00000002090	APAMU00000002117	(MA,(MM,(AD,MU)));
ENSGT00390000005830	valid	1	APAMA00000032347	APAMM00000030671	APAAD00000024680	APAMU00000026478	(MA,(MM,(AD,MU)));
ENSGT00890000139439	valid	1	APAMA00000021686	APAMM00000020580	APAAD00000016555	APAMU00000017793	(MA,(MM,(AD,MU)));
ENSGT00840000129767	valid	1	TRAMA00000007272	TRAMM00000007150	APAAD00000011239	TRAMU00000006989	(MA,(MM,(AD,MU)));
ENSGT00840000129767	valid	1	TRAMA00000007276	APAMM00000013859	APAAD00000011231	APAMU00000011984	(MA,(MM,(AD,MU)));
ENSGT00840000129767	valid	1	APAMA00000014672	APAMM00000013869	APAAD00000011238	APAMU00000011973	(MA,(MM,(AD,MU)));
ENSGT00840000129767	valid	1	APAMA00000014670	APAMM00000013864	APAAD00000011233	APAMU00000011975	(MA,(MM,(AD,MU)));
ENSGT00840000129767	valid	1	TRAMA00000007295	TRAMM00000007154	APAAD00000011237	APAMU00000011981	(MA,(MM,(AD,MU)));
ENSGT00510000048454	valid	1	TRAMA00000011032	APAMM00000020755	APAAD00000016718	APAMU00000017984	(MA,(MM,(AD,MU)));
ENSGT00390000017819	valid	1	APAMA00000027727	APAMM00000026252	APAAD00000021103	APAMU00000022705	(MA,(MM,(AD,MU)));
ENSGT00390000014052	valid	1	APAMA00000049524	APAMM00000047284	APAAD00000038049	APAMU00000040801	(MA,(MM,(AD,MU)));
ENSGT00680000099614	valid	1	APAMA00000011920	APAMM00000011383	APAAD00000009191	APAMU00000009871	(MA,(MM,(AD,MU)));
ENSGT00680000099614	valid	1	APAMA00000011919	APAMM00000011379	APAAD00000009192	APAMU00000009865	(MA,(MM,(AD,MU)));
ENSGT00680000099614	valid	1	APAMA00000011913	TRAMM00000005872	TRAAD00000005143	APAMU00000009868	(MA,(MM,(AD,MU)));
ENSGT00680000099614	valid	1	APAMA00000011915	APAMM00000011378	APAAD00000009190	APAMU00000009867	(MA,(MM,(AD,MU)));
ENSGT00680000099614	valid	1	APAMA00000011923	APAMM00000011386	TRAAD00000005144	APAMU00000009872	(MA,(MM,(AD,MU)));
ENSGT00390000017259	valid	1	APAMA00000024229	APAMM00000023038	APAAD00000018527	APAMU00000019849	(MA,(MM,(AD,MU)));
ENSGT00390000002313	valid	1	TRAMA00000030942	APAMM00000056893	TRAAD00000000435	APAMU00000049207	(MA,(MM,(AD,MU)));
ENSGT00850000132416	valid	1	APAMA00000018017	APAMM00000017020	APAAD00000013732	TRAMU00000008436	(MA,(MM,(AD,MU)));
ENSGT00390000014156	valid	-2	TRAMA00000032790	TRAMM00000031532	TRAAD00000027601	APAMU00000033808	(AD,(MU,(MA,MM)));
ENSGT00790000123121	valid	1	APAMA00000031599	APAMM00000029958	TRAAD00000013723	APAMU00000025881	(MA,(MM,(AD,MU)));
ENSGT00390000002368	valid	1	APAMA00000040073	APAMM00000038046	APAAD00000030692	APAMU00000032868	(MA,(MM,(AD,MU)));
ENSGT00390000012831	valid	1	APAMA00000038506	TRAMM00000019261	APAAD00000029479	APAMU00000031565	(MA,(MM,(AD,MU)));
ENSGT00390000018047	valid	1	APAMA00000018072	TRAMM00000008865	APAAD00000013794	APAMU00000014720	(MA,(MM,(AD,MU)));
ENSGT00550000074931	valid	1	APAMA00000060229	APAMM00000057693	APAAD00000046650	APAMU00000049910	(MA,(MM,(AD,MU)));
ENSGT00390000015696	valid	1	APAMA00000035336	TRAMM00000021130	APAAD00000027063	APAMU00000028955	(MA,(MM,(AD,MU)));
ENSGT00390000015696	valid	1	APAMA00000035329	APAMM00000033540	APAAD00000027065	APAMU00000028959	(MA,(MM,(AD,MU)));
ENSGT00390000015696	valid	1	APAMA00000035333	APAMM00000033544	TRAAD00000018361	APAMU00000028963	(MA,(MM,(AD,MU)));
ENSGT00390000017260	valid	1	APAMA00000060659	APAMM00000058100	APAAD00000047000	APAMU00000050243	(MA,(MM,(AD,MU)));
ENSGT00390000015238	valid	1	TRAMA00000013543	APAMM00000025165	APAAD00000020241	APAMU00000021756	(MA,(MM,(AD,MU)));
ENSGT00390000015238	valid	1	APAMA00000026657	APAMM00000025169	APAAD00000020244	APAMU00000021758	(MA,(MM,(AD,MU)));
ENSGT00390000018292	valid	1	APAMA00000022282	TRAMM00000010877	TRAAD00000009523	TRAMU00000010472	(MA,(MM,(AD,MU)));
ENSGT00390000010125	valid	1	APAMA00000063054	APAMM00000060391	TRAAD00000003550	APAMU00000052248	(MA,(MM,(AD,MU)));
ENSGT00390000008194	valid	1	APAMA00000045677	APAMM00000043524	APAAD00000035031	APAMU00000037645	(MA,(MM,(AD,MU)));
ENSGT00390000008194	valid	1	APAMA00000045675	APAMM00000043523	APAAD00000035032	APAMU00000037646	(MA,(MM,(AD,MU)));
ENSGT00390000016992	valid	1	APAMA00000015512	APAMM00000014643	APAAD00000011851	APAMU00000012597	(MA,(MM,(AD,MU)));
ENSGT00440000033687	valid	1	APAMA00000038883	APAMM00000036890	APAAD00000029752	TRAMU00000003833	(MA,(MM,(AD,MU)));
ENSGT00730000111081	valid	1	APAMA00000027672	APAMM00000026195	APAAD00000021063	APAMU00000022643	(MA,(MM,(AD,MU)));
ENSGT00550000074430	valid	1	APAMA00000007532	APAMM00000007305	APAAD00000005850	APAMU00000006259	(MA,(MM,(AD,MU)));
ENSGT00550000074430	valid	1	APAMA00000007533	APAMM00000007302	APAAD00000005854	APAMU00000006279	(MA,(MM,(AD,MU)));
ENSGT00550000074430	valid	1	APAMA00000007520	APAMM00000007306	APAAD00000005856	APAMU00000006258	(MA,(MM,(AD,MU)));
ENSGT00550000074430	valid	1	APAMA00000007525	APAMM00000007313	APAAD00000005858	APAMU00000006275	(MA,(MM,(AD,MU)));
ENSGT00550000074430	valid	1	APAMA00000007516	APAMM00000007316	APAAD00000005853	APAMU00000006263	(MA,(MM,(AD,MU)));
ENSGT00550000074430	valid	1	APAMA00000007513	APAMM00000007321	APAAD00000005864	APAMU00000006261	(MA,(MM,(AD,MU)));
ENSGT00390000016268	valid	1	APAMA00000038417	APAMM00000036416	APAAD00000029414	APAMU00000031488	(MA,(MM,(AD,MU)));
ENSGT00390000010768	valid	1	APAMA00000050937	APAMM00000048706	APAAD00000039202	TRAMU00000024501	(MA,(MM,(AD,MU)));
ENSGT00510000048410	valid	1	TRAMA00000008320	APAMM00000027032	APAAD00000021730	APAMU00000023320	(MA,(MM,(AD,MU)));
ENSGT00390000008295	valid	1	APAMA00000003697	APAMM00000003612	APAAD00000002983	APAMU00000003047	(MA,(MM,(AD,MU)));
ENSGT00390000008295	valid	1	APAMA00000003706	APAMM00000003622	TRAAD00000010611	TRAMU00000001787	(MA,(MM,(AD,MU)));
ENSGT00390000003458	valid	1	APAMA00000060941	APAMM00000058361	APAAD00000047212	APAMU00000050445	(MA,(MM,(AD,MU)));
ENSGT00390000003587	valid	1	APAMA00000056136	APAMM00000053675	APAAD00000043343	APAMU00000046367	(MA,(MM,(AD,MU)));
ENSGT00390000011179	valid	1	APAMA00000001376	TRAMM00000000688	APAAD00000001080	APAMU00000001169	(MA,(MM,(AD,MU)));
ENSGT00390000012435	valid	1	APAMA00000033789	TRAMM00000016778	APAAD00000025843	TRAMU00000016180	(MA,(MM,(AD,MU)));
ENSGT00390000001577	valid	1	APAMA00000050260	APAMM00000048004	APAAD00000038571	APAMU00000041346	(MA,(MM,(AD,MU)));
ENSGT00500000044916	valid	1	APAMA00000052949	APAMM00000050635	APAAD00000040777	APAMU00000043661	(MA,(MM,(AD,MU)));
ENSGT00390000014780	valid	1	TRAMA00000032411	TRAMM00000031145	TRAAD00000027245	TRAMU00000030090	(MA,(MM,(AD,MU)));
ENSGT00390000015361	valid	1	TRAMA00000000057	APAMM00000042378	TRAAD00000019426	APAMU00000036507	(MA,(MM,(AD,MU)));
ENSGT00510000046898	valid	1	APAMA00000035573	APAMM00000033786	APAAD00000027247	APAMU00000029146	(MA,(MM,(AD,MU)));
ENSGT00510000046898	valid	1	APAMA00000035576	APAMM00000033783	APAAD00000027249	APAMU00000029149	(MA,(MM,(AD,MU)));
ENSGT00390000012508	valid	1	APAMA00000045618	APAMM00000043476	APAAD00000034993	APAMU00000037597	(MA,(MM,(AD,MU)));
ENSGT00390000016054	valid	1	APAMA00000026385	APAMM00000024923	APAAD00000020055	APAMU00000021544	(MA,(MM,(AD,MU)));
ENSGT00390000016054	valid	1	APAMA00000026387	APAMM00000024925	TRAAD00000026758	APAMU00000021542	(MA,(MM,(AD,MU)));
ENSGT00530000062937	valid	1	APAMA00000014037	APAMM00000013242	APAAD00000010717	APAMU00000011476	(MA,(MM,(AD,MU)));
ENSGT00530000062937	valid	1	APAMA00000014021	APAMM00000013238	APAAD00000010720	APAMU00000011474	(MA,(MM,(AD,MU)));
ENSGT00530000062937	valid	1	TRAMA00000006996	APAMM00000013247	APAAD00000010728	TRAMU00000006739	(MA,(MM,(AD,MU)));
ENSGT00530000062937	valid	1	APAMA00000014026	TRAMM00000006842	APAAD00000010726	APAMU00000011482	(MA,(MM,(AD,MU)));
ENSGT00390000014606	valid	1	APAMA00000056745	APAMM00000054287	TRAAD00000024829	APAMU00000046917	(MA,(MM,(AD,MU)));
ENSGT00730000111193	valid	1	APAMA00000056563	APAMM00000054116	APAAD00000043692	APAMU00000046747	(MA,(MM,(AD,MU)));
ENSGT00390000003233	valid	1	APAMA00000002434	APAMM00000002400	APAAD00000001940	APAMU00000001983	(MA,(MM,(AD,MU)));
ENSGT00530000063616	valid	1	APAMA00000002382	TRAMM00000001233	APAAD00000001898	APAMU00000001944	(MA,(MM,(AD,MU)));
ENSGT00530000063616	valid	1	APAMA00000002383	APAMM00000002349	TRAAD00000001093	APAMU00000001941	(MA,(MM,(AD,MU)));
ENSGT00390000000145	valid	1	APAMA00000026674	APAMM00000025190	APAAD00000020256	APAMU00000021773	(MA,(MM,(AD,MU)));
ENSGT00390000016504	valid	1	APAMA00000034731	APAMM00000032932	APAAD00000026561	APAMU00000028378	(MA,(MM,(AD,MU)));
ENSGT00720000108823	valid	1	APAMA00000002338	APAMM00000002300	APAAD00000001864	TRAMU00000001080	(MA,(MM,(AD,MU)));
ENSGT00550000074861	valid	1	APAMA00000011276	TRAMM00000005552	TRAAD00000004876	APAMU00000009360	(MA,(MM,(AD,MU)));
ENSGT00390000012490	valid	-1	APAMA00000027400	APAMM00000025917	TRAAD00000011828	APAMU00000022424	(MM,(MA,(AD,MU)));
ENSGT00390000015600	valid	1	APAMA00000000521	APAMM00000000534	APAAD00000000401	APAMU00000000451	(MA,(MM,(AD,MU)));
ENSGT00390000015600	valid	1	APAMA00000000524	APAMM00000000541	TRAAD00000001800	TRAMU00000000219	(MA,(MM,(AD,MU)));
ENSGT00530000063038	valid	1	APAMA00000036212	APAMM00000034342	APAAD00000027710	APAMU00000029649	(MA,(MM,(AD,MU)));
ENSGT00530000063038	valid	1	APAMA00000036233	APAMM00000034351	APAAD00000027719	APAMU00000029654	(MA,(MM,(AD,MU)));
ENSGT00530000063038	valid	1	APAMA00000036202	TRAMM00000017949	TRAAD00000015737	TRAMU00000017315	(MA,(MM,(AD,MU)));
ENSGT00390000014377	valid	1	APAMA00000059312	APAMM00000056798	APAAD00000045906	APAMU00000049123	(MA,(MM,(AD,MU)));
